喫茶店の店員,喫茶店：錆色時計の店員。
雑貨屋の店員,やまぶき雑貨店の店員。
診療所の受付,青竹診療所の受付。
診療所の医者,青竹診療所の医者。
診療所の薬剤師,青竹診療所の薬剤師。
学校の先生,白花学校の先生。
学校の風紀委員,白花学校の風紀委員。
学校の図書委員,白花学校の図書委員。
学校の運動部員,白花学校の運動部員。
学校の新聞部員,白花学校の新聞部員。
学校の帰宅部員,白花学校の帰宅部員。
学校の幼年部,白花学校に所属する幼い子。小学一年生くらい。
図書館の司書,うるみ図書館の司書。
公園の園芸師,深緑公園を整備している人。
公園に住んでる人,深緑公園に住んでいる人。魂がとても自由。
画家,さまざまな絵を描く画家。
写真家,パステルサイトの人や風景を写真に収めている。
陶芸家,皿や壺などを作る陶芸家。
作家,さまざまな作品を書く作家。
縫製職人,服やカバンなどを作る縫製職人。
料理人,料理を作って振る舞う料理人。
機械技師,町で動く機械類の作成・修理を一手に請け負っている。
時計職人,時計を作ったり、その調整を行ったりしている。
鍵屋,壊れた鍵をなんでも修理できる鍵屋。
天気予報士,パステルサイト周辺の空など気候を観測し、皆に伝えている。
魔法使い,dresを使用した魔法機械類を作ったり、その調整を行ったりしている。
錬金術師,魔法的なアプローチによって、薬を作ったり金属材料を作ったりしている。
夢汲み,"夢の海"から海水を汲みだし、精製する仕事をしている。
古物商,さまざまな古物を取り扱う商人。
花屋,さまざまな花やその種を管理し、商売している。
配達員,手紙や郵便物を預かり、しかるべき場所に届ける配達員。
警察官,町の安全を保つ警察。
冒険家,町のあちこちや、時には町を飛び出して様々な場所を冒険している。
探偵,町での困りごとを請け負う何でも屋のようなもの。
農家,町で食べられる野菜や穀物などを育てている。
牧畜家,町で食べられる乳製品や食肉などを扱っている。
歌手,歌を歌って人々に届ける仕事をしている。
アイドル,歌って踊って人々を楽しませている。
ダンサー,キレのあるダンスで人々を魅了している。
マジシャン,手品を披露して人々を驚かせている。
楽器奏者,楽器を演奏して人々に届ける仕事をしている。
インフルエンサー,SNSにおける影響力が強く、流行を生み出している。
父親,お父さん。
母親,お母さん。
子供,お子さん。
長老,町の中でも特に長生きしている。
迷子,町で迷子になっている人。
虫取り名人,虫取りのことなら何でもお任せ。
釣り人,"夢の海"に魚はいないので何をしているのかよく分からない。川専門かも。
今日が誕生日の人,めでたい。
