location,name,lore,message,direct
ec6d71,"きっぷ","白紙のきっぷ。別に持っていなくても電車には乗れるらしい。","きっぷを購入した。なにも書かれていない。",0
00552e,"すべり台","ゾウを模した結構大きめのすべり台。鼻の下には砂場が広がっている。","すべり台を滑った。楽しい！",0
00552e,"ブランコ","シンプルなブランコ。あまり高く漕ぎすぎないように。","ブランコをこいだ。楽しい！",0
00552e,"鉄棒","三段階の高さがある鉄棒。子供から大人まで挑戦することができる。","鉄棒で[random/跳び上がり回り|逆上がり|横とび越し下り|大車輪|ふとん干し/random]に挑戦した。",0
6c3524,"コーヒー","さまざまな豆を選んで注文することができる。モカがおすすめ。","コーヒーを注文した。",0
6c3524,"紅茶","メインではないが一応置いているらしい。アイス・ホットしか選択肢がない。","紅茶を注文した。",0
6c3524,"カレーライス","喫茶店の主力商品。コーヒーが隠し味に使われていて、少しすっぱめ。","カレーライスを注文した。",0
6c3524,"クリームソーダ","豊かでクリーミーな泡が魅力的な飲み物。さくらんぼ付き。","クリームソーダを注文した。",0
f8b500,"青い小瓶","なんらかの液体が詰められた小瓶。何に使うのかは分からない。","青い小瓶を購入した。中身は[random/化粧水|塩水|スムージー/random]らしい。",1
f8b500,"赤い小瓶","なんらかの液体が詰められた小瓶。何に使うのかは分からない。","赤い小瓶を購入した。中身は[random/傷薬|砂糖水|ジャム/random]らしい。",1
f8b500,"サイコロ","1から6までの数字が各面に刻まれたサイコロ。転がすと楽しい。","サイコロを振った。[random/1|2|3|4|5|6/random]が出た！",0
c8c2be,"分厚い本","難しそうな厚い本。","分厚い本を読んでいる……",0
c8c2be,"薄い本","雑誌など。別にセンシティブではない。","薄い本を読んでいる……",0
8491c3,"釣り竿","夢の海に向けて据え置かれた釣り竿。夢の海に魚はいないので何もかかることはない。","釣りをした。[random/なにも釣れなかった……|なにも釣れなかった……|なにも釣れなかった……|針が岩にひっかかった。|すこしだけ浮きが揺れた気がした。/random]",1
